"LG"	"frag"	"source"	"feature"	"start"	"end"	"dot1"	"strand"	"dot2"	"OR"	"Feature_title"	"LG_common_name"	"LG_start"	"LG_end"	"suffix"	"length"	"structure"	"converted_start"	"converted_end"	"converted_midpoint"	"relative.start"	"relative.end"	"OR_NAME"	"SPECIES"	"SP_CODE"	"NUMBER"	"SUFFIX"	"OR_GROUP"	"LAMPYRID"	"KNOWN_LIGAND"
"11"	"NW_022170596"	"12"	"Geneious"	"exon"	71041	71106	"."	"-"	"."	"PpyrOR10"	"Exon E"	"LG5"	0	49173113	""	65	"A1,A2,A3,A4B,CD,E"	2471041	2471106	2471073.5	1353	1418	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"12"	"NW_022170596"	"12"	"Geneious"	"exon"	71152	71412	"."	"-"	"."	"PpyrOR10"	"Exon CD"	"LG5"	0	49173113	""	260	"A1,A2,A3,A4B,CD,E"	2471152	2471412	2471282	1047	1307	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"13"	"NW_022170596"	"12"	"Geneious"	"exon"	71461	71592	"."	"-"	"."	"PpyrOR10"	"Exon A4B"	"LG5"	0	49173113	""	131	"A1,A2,A3,A4B,CD,E"	2471461	2471592	2471526.5	867	998	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"14"	"NW_022170596"	"12"	"Geneious"	"exon"	71646	71942	"."	"-"	"."	"PpyrOR10"	"Exon A3"	"LG5"	0	49173113	""	296	"A1,A2,A3,A4B,CD,E"	2471646	2471942	2471794	517	813	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"15"	"NW_022170596"	"12"	"Geneious"	"exon"	71985	72130	"."	"-"	"."	"PpyrOR10"	"Exon A2"	"LG5"	0	49173113	""	145	"A1,A2,A3,A4B,CD,E"	2471985	2472130	2472057.5	329	474	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"16"	"NW_022170596"	"12"	"Geneious"	"exon"	72180	72459	"."	"-"	"."	"PpyrOR10"	"Exon A1"	"LG5"	0	49173113	""	279	"A1,A2,A3,A4B,CD,E"	2472180	2472459	2472319.5	0	279	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"17"	"NW_022170596"	"12"	"R"	"total"	71041	72459	"."	"-"	"."	"PpyrOR10"	"Total length"	"LG5"	0	49173113	""	1418	"A1,A2,A3,A4B,CD,E"	2471041	2472459	2471750	0	1418	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"18"	"NW_022170596"	"12"	"R"	"intron"	72179	72131	"."	"-"	"."	"PpyrOR10"	"Intron 1"	"LG5"	0	49173113	""	48	"A1,A2,A3,A4B,CD,E"	2472179	2472131	2472155	328	280	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"19"	"NW_022170596"	"12"	"R"	"intron"	71984	71943	"."	"-"	"."	"PpyrOR10"	"Intron 2"	"LG5"	0	49173113	""	41	"A1,A2,A3,A4B,CD,E"	2471984	2471943	2471963.5	516	475	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"20"	"NW_022170596"	"12"	"R"	"intron"	71645	71593	"."	"-"	"."	"PpyrOR10"	"Intron 3"	"LG5"	0	49173113	""	52	"A1,A2,A3,A4B,CD,E"	2471645	2471593	2471619	866	814	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"21"	"NW_022170596"	"12"	"R"	"intron"	71460	71413	"."	"-"	"."	"PpyrOR10"	"Intron 4"	"LG5"	0	49173113	""	47	"A1,A2,A3,A4B,CD,E"	2471460	2471413	2471436.5	1046	999	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"22"	"NW_022170596"	"12"	"R"	"intron"	71151	71107	"."	"-"	"."	"PpyrOR10"	"Intron 5"	"LG5"	0	49173113	""	44	"A1,A2,A3,A4B,CD,E"	2471151	2471107	2471129	1352	1308	"PpyrOR10"	"Photinus pyralis"	"Ppyr"	10	""	"2B"	"yes"	"no"
"23"	"NW_022170511"	"177"	"Geneious"	"exon"	103999	104242	"."	"+"	"."	"PpyrOR100NTE"	"Exon A2"	"LG4"	0	50607672	"NTE"	243	"A2,A3,A4B,C,D,E"	35503999	35504242	35504120.5	0	243	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"24"	"NW_022170511"	"177"	"Geneious"	"exon"	104297	104472	"."	"+"	"."	"PpyrOR100NTE"	"Exon A3"	"LG4"	0	50607672	"NTE"	175	"A2,A3,A4B,C,D,E"	35504297	35504472	35504384.5	298	473	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"25"	"NW_022170511"	"177"	"Geneious"	"exon"	104597	104931	"."	"+"	"."	"PpyrOR100NTE"	"Exon A4B"	"LG4"	0	50607672	"NTE"	334	"A2,A3,A4B,C,D,E"	35504597	35504931	35504764	598	932	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"26"	"NW_022170511"	"177"	"Geneious"	"exon"	104986	105087	"."	"+"	"."	"PpyrOR100NTE"	"Exon C"	"LG4"	0	50607672	"NTE"	101	"A2,A3,A4B,C,D,E"	35504986	35505087	35505036.5	987	1088	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"27"	"NW_022170511"	"177"	"Geneious"	"exon"	105132	105287	"."	"+"	"."	"PpyrOR100NTE"	"Exon D"	"LG4"	0	50607672	"NTE"	155	"A2,A3,A4B,C,D,E"	35505132	35505287	35505209.5	1133	1288	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"28"	"NW_022170511"	"177"	"Geneious"	"exon"	105333	105389	"."	"+"	"."	"PpyrOR100NTE"	"Exon E"	"LG4"	0	50607672	"NTE"	56	"A2,A3,A4B,C,D,E"	35505333	35505389	35505361	1334	1390	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"29"	"NW_022170511"	"177"	"R"	"total"	103999	105389	"."	"+"	"."	"PpyrOR100NTE"	"Total length"	"LG4"	0	50607672	"NTE"	1390	"A2,A3,A4B,C,D,E"	35503999	35505389	35504694	0	1390	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"30"	"NW_022170511"	"177"	"R"	"intron"	104243	104296	"."	"+"	"."	"PpyrOR100NTE"	"Intron 1"	"LG4"	0	50607672	"NTE"	53	"A2,A3,A4B,C,D,E"	35504243	35504296	35504269.5	244	297	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"31"	"NW_022170511"	"177"	"R"	"intron"	104473	104596	"."	"+"	"."	"PpyrOR100NTE"	"Intron 2"	"LG4"	0	50607672	"NTE"	123	"A2,A3,A4B,C,D,E"	35504473	35504596	35504534.5	474	597	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"32"	"NW_022170511"	"177"	"R"	"intron"	104932	104985	"."	"+"	"."	"PpyrOR100NTE"	"Intron 3"	"LG4"	0	50607672	"NTE"	53	"A2,A3,A4B,C,D,E"	35504932	35504985	35504958.5	933	986	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"33"	"NW_022170511"	"177"	"R"	"intron"	105088	105131	"."	"+"	"."	"PpyrOR100NTE"	"Intron 4"	"LG4"	0	50607672	"NTE"	43	"A2,A3,A4B,C,D,E"	35505088	35505131	35505109.5	1089	1132	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"34"	"NW_022170511"	"177"	"R"	"intron"	105288	105332	"."	"+"	"."	"PpyrOR100NTE"	"Intron 5"	"LG4"	0	50607672	"NTE"	44	"A2,A3,A4B,C,D,E"	35505288	35505332	35505310	1289	1333	"PpyrOR100NTE"	"Photinus pyralis"	"Ppyr"	100	"NTE"	"6"	"yes"	"no"
"35"	"NW_022170596"	"12"	"Geneious"	"exon"	64246	64489	"."	"+"	"."	"PpyrOR11"	"Exon A1"	"LG5"	0	49173113	""	243	"A1,A2,A3,A4B,CD,E"	2464246	2464489	2464367.5	0	243	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"36"	"NW_022170596"	"12"	"Geneious"	"exon"	64545	64699	"."	"+"	"."	"PpyrOR11"	"Exon A2"	"LG5"	0	49173113	""	154	"A1,A2,A3,A4B,CD,E"	2464545	2464699	2464622	299	453	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"37"	"NW_022170596"	"12"	"Geneious"	"exon"	67892	68209	"."	"+"	"."	"PpyrOR11"	"Exon A3"	"LG5"	0	49173113	""	317	"A1,A2,A3,A4B,CD,E"	2467892	2468209	2468050.5	3646	3963	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"38"	"NW_022170596"	"12"	"Geneious"	"exon"	68255	68461	"."	"+"	"."	"PpyrOR11"	"Exon A4B"	"LG5"	0	49173113	""	206	"A1,A2,A3,A4B,CD,E"	2468255	2468461	2468358	4009	4215	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"39"	"NW_022170596"	"12"	"Geneious"	"exon"	68502	68735	"."	"+"	"."	"PpyrOR11"	"Exon CD"	"LG5"	0	49173113	""	233	"A1,A2,A3,A4B,CD,E"	2468502	2468735	2468618.5	4256	4489	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"40"	"NW_022170596"	"12"	"Geneious"	"exon"	68782	68835	"."	"+"	"."	"PpyrOR11"	"Exon E"	"LG5"	0	49173113	""	53	"A1,A2,A3,A4B,CD,E"	2468782	2468835	2468808.5	4536	4589	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"41"	"NW_022170596"	"12"	"R"	"total"	64246	68835	"."	"+"	"."	"PpyrOR11"	"Total length"	"LG5"	0	49173113	""	4589	"A1,A2,A3,A4B,CD,E"	2464246	2468835	2466540.5	0	4589	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"42"	"NW_022170596"	"12"	"R"	"intron"	64490	64544	"."	"+"	"."	"PpyrOR11"	"Intron 1"	"LG5"	0	49173113	""	54	"A1,A2,A3,A4B,CD,E"	2464490	2464544	2464517	244	298	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"43"	"NW_022170596"	"12"	"R"	"intron"	64700	67891	"."	"+"	"."	"PpyrOR11"	"Intron 2"	"LG5"	0	49173113	""	3191	"A1,A2,A3,A4B,CD,E"	2464700	2467891	2466295.5	454	3645	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"44"	"NW_022170596"	"12"	"R"	"intron"	68210	68254	"."	"+"	"."	"PpyrOR11"	"Intron 3"	"LG5"	0	49173113	""	44	"A1,A2,A3,A4B,CD,E"	2468210	2468254	2468232	3964	4008	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"45"	"NW_022170596"	"12"	"R"	"intron"	68462	68501	"."	"+"	"."	"PpyrOR11"	"Intron 4"	"LG5"	0	49173113	""	39	"A1,A2,A3,A4B,CD,E"	2468462	2468501	2468481.5	4216	4255	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"46"	"NW_022170596"	"12"	"R"	"intron"	68736	68781	"."	"+"	"."	"PpyrOR11"	"Intron 5"	"LG5"	0	49173113	""	45	"A1,A2,A3,A4B,CD,E"	2468736	2468781	2468758.5	4490	4535	"PpyrOR11"	"Photinus pyralis"	"Ppyr"	11	""	"2B"	"yes"	"no"
"47"	"NW_022170511"	"248"	"Geneious"	"CDS"	121688	121747	"."	"-"	"."	"PpyrOR12"	"Exon E"	"LG4"	0	50607672	""	59	"A1,A2,A3,A4B,CD,E"	49721688	49721747	49721717.5	1516	1575	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"48"	"NW_022170511"	"248"	"Geneious"	"CDS"	121795	122055	"."	"-"	"."	"PpyrOR12"	"Exon CD"	"LG4"	0	50607672	""	260	"A1,A2,A3,A4B,CD,E"	49721795	49722055	49721925	1208	1468	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"49"	"NW_022170511"	"248"	"Geneious"	"exon"	122111	122287	"."	"-"	"."	"PpyrOR12"	"Exon A4B"	"LG4"	0	50607672	""	176	"A1,A2,A3,A4B,CD,E"	49722111	49722287	49722199	976	1152	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"50"	"NW_022170511"	"248"	"Geneious"	"exon"	122391	122687	"."	"-"	"."	"PpyrOR12"	"Exon A3"	"LG4"	0	50607672	""	296	"A1,A2,A3,A4B,CD,E"	49722391	49722687	49722539	576	872	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"51"	"NW_022170511"	"248"	"Geneious"	"exon"	122844	122977	"."	"-"	"."	"PpyrOR12"	"Exon A2"	"LG4"	0	50607672	""	133	"A1,A2,A3,A4B,CD,E"	49722844	49722977	49722910.5	286	419	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"52"	"NW_022170511"	"248"	"Geneious"	"exon"	123026	123263	"."	"-"	"."	"PpyrOR12"	"Exon A1"	"LG4"	0	50607672	""	237	"A1,A2,A3,A4B,CD,E"	49723026	49723263	49723144.5	0	237	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"53"	"NW_022170511"	"248"	"R"	"total"	121688	123263	"."	"-"	"."	"PpyrOR12"	"Total length"	"LG4"	0	50607672	""	1575	"A1,A2,A3,A4B,CD,E"	49721688	49723263	49722475.5	0	1575	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"54"	"NW_022170511"	"248"	"R"	"intron"	123025	122978	"."	"-"	"."	"PpyrOR12"	"Intron 1"	"LG4"	0	50607672	""	47	"A1,A2,A3,A4B,CD,E"	49723025	49722978	49723001.5	285	238	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"55"	"NW_022170511"	"248"	"R"	"intron"	122843	122688	"."	"-"	"."	"PpyrOR12"	"Intron 2"	"LG4"	0	50607672	""	155	"A1,A2,A3,A4B,CD,E"	49722843	49722688	49722765.5	575	420	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"56"	"NW_022170511"	"248"	"R"	"intron"	122390	122288	"."	"-"	"."	"PpyrOR12"	"Intron 3"	"LG4"	0	50607672	""	102	"A1,A2,A3,A4B,CD,E"	49722390	49722288	49722339	975	873	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"57"	"NW_022170511"	"248"	"R"	"intron"	122110	122056	"."	"-"	"."	"PpyrOR12"	"Intron 4"	"LG4"	0	50607672	""	54	"A1,A2,A3,A4B,CD,E"	49722110	49722056	49722083	1207	1153	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"58"	"NW_022170511"	"248"	"R"	"intron"	121794	121748	"."	"-"	"."	"PpyrOR12"	"Intron 5"	"LG4"	0	50607672	""	46	"A1,A2,A3,A4B,CD,E"	49721794	49721748	49721771	1515	1469	"PpyrOR12"	"Photinus pyralis"	"Ppyr"	12	""	"2B"	"yes"	"no"
"59"	"NW_022170511"	"248"	"Geneious"	"exon"	125040	125339	"."	"-"	"."	"PpyrOR13PSE"	"Exon CD"	"LG4"	0	50607672	"PSE"	299	"A1,A2,A3,A4B,CD"	49725040	49725339	49725189.5	1140	1439	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"60"	"NW_022170511"	"248"	"Geneious"	"exon"	125482	125625	"."	"-"	"."	"PpyrOR13PSE"	"Exon A4B"	"LG4"	0	50607672	"PSE"	143	"A1,A2,A3,A4B,CD"	49725482	49725625	49725553.5	854	997	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"61"	"NW_022170511"	"248"	"Geneious"	"exon"	125681	125995	"."	"-"	"."	"PpyrOR13PSE"	"Exon A3"	"LG4"	0	50607672	"PSE"	314	"A1,A2,A3,A4B,CD"	49725681	49725995	49725838	484	798	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"62"	"NW_022170511"	"248"	"Geneious"	"exon"	126050	126183	"."	"-"	"."	"PpyrOR13PSE"	"Exon A2"	"LG4"	0	50607672	"PSE"	133	"A1,A2,A3,A4B,CD"	49726050	49726183	49726116.5	296	429	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"63"	"NW_022170511"	"248"	"Geneious"	"exon"	126242	126479	"."	"-"	"."	"PpyrOR13PSE"	"Exon A1"	"LG4"	0	50607672	"PSE"	237	"A1,A2,A3,A4B,CD"	49726242	49726479	49726360.5	0	237	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"64"	"NW_022170511"	"248"	"R"	"total"	125040	126479	"."	"-"	"."	"PpyrOR13PSE"	"Total length"	"LG4"	0	50607672	"PSE"	1439	"A1,A2,A3,A4B,CD"	49725040	49726479	49725759.5	0	1439	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"65"	"NW_022170511"	"248"	"R"	"intron"	126241	126184	"."	"-"	"."	"PpyrOR13PSE"	"Intron 1"	"LG4"	0	50607672	"PSE"	57	"A1,A2,A3,A4B,CD"	49726241	49726184	49726212.5	295	238	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"66"	"NW_022170511"	"248"	"R"	"intron"	126049	125996	"."	"-"	"."	"PpyrOR13PSE"	"Intron 2"	"LG4"	0	50607672	"PSE"	53	"A1,A2,A3,A4B,CD"	49726049	49725996	49726022.5	483	430	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"67"	"NW_022170511"	"248"	"R"	"intron"	125680	125626	"."	"-"	"."	"PpyrOR13PSE"	"Intron 3"	"LG4"	0	50607672	"PSE"	54	"A1,A2,A3,A4B,CD"	49725680	49725626	49725653	853	799	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"68"	"NW_022170511"	"248"	"R"	"intron"	125481	125340	"."	"-"	"."	"PpyrOR13PSE"	"Intron 4"	"LG4"	0	50607672	"PSE"	141	"A1,A2,A3,A4B,CD"	49725481	49725340	49725410.5	1139	998	"PpyrOR13PSE"	"Photinus pyralis"	"Ppyr"	13	"PSE"	"2B"	"yes"	"no"
"69"	"NW_022170511"	"248"	"Geneious"	"exon"	132597	132671	"."	"-"	"."	"PpyrOR14"	"Exon E"	"LG4"	0	50607672	""	74	"A1,A2,A3,A4B,CD,E"	49732597	49732671	49732634	2253	2327	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"70"	"NW_022170511"	"248"	"Geneious"	"exon"	132719	132979	"."	"-"	"."	"PpyrOR14"	"Exon CD"	"LG4"	0	50607672	""	260	"A1,A2,A3,A4B,CD,E"	49732719	49732979	49732849	1945	2205	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"71"	"NW_022170511"	"248"	"Geneious"	"exon"	133034	133207	"."	"-"	"."	"PpyrOR14"	"Exon A4B"	"LG4"	0	50607672	""	173	"A1,A2,A3,A4B,CD,E"	49733034	49733207	49733120.5	1717	1890	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"72"	"NW_022170511"	"248"	"Geneious"	"exon"	134142	134447	"."	"-"	"."	"PpyrOR14"	"Exon A3"	"LG4"	0	50607672	""	305	"A1,A2,A3,A4B,CD,E"	49734142	49734447	49734294.5	477	782	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"73"	"NW_022170511"	"248"	"Geneious"	"exon"	134497	134630	"."	"-"	"."	"PpyrOR14"	"Exon A2"	"LG4"	0	50607672	""	133	"A1,A2,A3,A4B,CD,E"	49734497	49734630	49734563.5	294	427	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"74"	"NW_022170511"	"248"	"Geneious"	"exon"	134681	134924	"."	"-"	"."	"PpyrOR14"	"Exon A1"	"LG4"	0	50607672	""	243	"A1,A2,A3,A4B,CD,E"	49734681	49734924	49734802.5	0	243	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"75"	"NW_022170511"	"248"	"R"	"total"	132597	134924	"."	"-"	"."	"PpyrOR14"	"Total length"	"LG4"	0	50607672	""	2327	"A1,A2,A3,A4B,CD,E"	49732597	49734924	49733760.5	0	2327	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"76"	"NW_022170511"	"248"	"R"	"intron"	134680	134631	"."	"-"	"."	"PpyrOR14"	"Intron 1"	"LG4"	0	50607672	""	49	"A1,A2,A3,A4B,CD,E"	49734680	49734631	49734655.5	293	244	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"77"	"NW_022170511"	"248"	"R"	"intron"	134496	134448	"."	"-"	"."	"PpyrOR14"	"Intron 2"	"LG4"	0	50607672	""	48	"A1,A2,A3,A4B,CD,E"	49734496	49734448	49734472	476	428	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"78"	"NW_022170511"	"248"	"R"	"intron"	134141	133208	"."	"-"	"."	"PpyrOR14"	"Intron 3"	"LG4"	0	50607672	""	933	"A1,A2,A3,A4B,CD,E"	49734141	49733208	49733674.5	1716	783	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"79"	"NW_022170511"	"248"	"R"	"intron"	133033	132980	"."	"-"	"."	"PpyrOR14"	"Intron 4"	"LG4"	0	50607672	""	53	"A1,A2,A3,A4B,CD,E"	49733033	49732980	49733006.5	1944	1891	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"80"	"NW_022170511"	"248"	"R"	"intron"	132718	132672	"."	"-"	"."	"PpyrOR14"	"Intron 5"	"LG4"	0	50607672	""	46	"A1,A2,A3,A4B,CD,E"	49732718	49732672	49732695	2252	2206	"PpyrOR14"	"Photinus pyralis"	"Ppyr"	14	""	"2B"	"yes"	"no"
"81"	"NW_022170511"	"248"	"Geneious"	"CDS"	137897	137977	"."	"-"	"."	"PpyrOR15"	"Exon E"	"LG4"	0	50607672	""	80	"A1,A2,A3,A4B,CD,E"	49737897	49737977	49737937	2369	2449	"PpyrOR15"	"Photinus pyralis"	"Ppyr"	15	""	"2B"	"yes"	"no"
"82"	"NW_022170511"	"248"	"Geneious"	"CDS"	138022	138282	"."	"-"	"."	"PpyrOR15"	"Exon CD"	"LG4"	0	50607672	""	260	"A1,A2,A3,A4B,CD,E"	49738022	49738282	49738152	2064	2324	"PpyrOR15"	"Photinus pyralis"	"Ppyr"	15	""	"2B"	"yes"	"no"
